2025-04-06 19:43:52 - Player: 0, Computer: 37, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 38, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 39, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 40, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 41, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 42, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 43, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 44, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 45, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:52 - Player: 0, Computer: 46, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 47, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 48, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 49, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 50, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 51, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 52, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 53, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 54, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 55, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 56, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 57, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:53 - Player: 0, Computer: 58, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 59, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 60, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 61, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 62, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 63, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 64, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 65, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 66, Winner: computer, User: Nguyen15idhue
2025-04-06 19:43:54 - Player: 0, Computer: 67, Winner: computer, User: Nguyen15idhue
